id,url,start_time,end_time
01,https://www.youtube.com/watch?v=I6K0pHyOGoU,,
02,https://www.youtube.com/watch?v=YLGnNPB6-SE,00:00:00,00:10:00
03,https://www.youtube.com/watch?v=YLGnNPB6-SE,00:30:47,00:32:20
04,https://www.youtube.com/shorts/2-KI1OhFEGY,,
05,https://www.youtube.com/shorts/HYJAYzk8s3I,,
06,https://www.youtube.com/shorts/M_spZnHrarU,,
07,https://www.youtube.com/watch?v=1E9gAWSxjx4,,
08,https://www.youtube.com/watch?v=J6GRXW6sSBc,00:02:25,00:11:00
09,https://www.youtube.com/watch?v=CutS9JtkHWY,,
10,http://youtube.com/watch?v=SBZgD73-Jo8,00:10:24,00:15:10
11,https://www.youtube.com/watch?v=YETyPHwJFEE,00:07:11,00:10:05
12,https://www.youtube.com/watch?v=6MQuTwpGojk,,
13,https://www.youtube.com/watch?v=IspiUk6P7eM,,
14,https://www.youtube.com/watch?v=yh-PFg95YmU,00:00:00,00:04:10
15,https://www.youtube.com/watch?v=x9TxRF-5O_4,00:00:50,00:03:15
16,https://www.youtube.com/watch?v=vd8-JIY44ng,00:07:00,00:10:50
17,https://www.youtube.com/watch?v=av333g5xwKs,00:09:40,00:18:20
18,https://www.youtube.com/watch?v=v0IIDNUjHPg,00:09:15,00:16:00
19,https://www.youtube.com/watch?v=D2CEc34CisY,00:26:00,00:35:00
20,https://www.youtube.com/watch?v=WhrekQumlKY,00:01:53,00:02:20
21,https://www.youtube.com/watch?v=5ZRwNKRcLOw,00:09:20,00:14:22
22,https://www.youtube.com/watch?v=WAjjmrVwDrI,00:00:00,00:01:05
23,https://www.youtube.com/watch?v=Moy6ZR-Ff2o,,
24,https://www.youtube.com/watch?v=wTOLhWN3rnY,00:02:38,00:12:17
25,https://www.youtube.com/watch?v=EOFEs5baG2Q,00:12:00,00:17:00
26,https://www.youtube.com/watch?v=ElrzzGWKSgY,00:02:15,
27,https://www.youtube.com/watch?v=9po3iKi0Q2Q,00:12:40,00:13:20
28,https://www.youtube.com/watch?v=gLSe9byIAsg,00:00:00,00:00:30
29,https://www.youtube.com/watch?v=djGCnQVYgV0,00:10:08,00:11:32
30,https://www.youtube.com/watch?v=dCZQv0Jyjn0,00:00:00,00:03:07
31,https://www.youtube.com/watch?v=YEiDFy6Burc,00:09:00,00:09:45
32,https://www.youtube.com/watch?v=eVqEjssw0G4,,
33,https://www.youtube.com/watch?v=Rm6IfCMI2XA,00:01:50,00:02:50
34,https://www.youtube.com/watch?v=pFdIfCgwWQ8,00:04:32,00:05:45
35,https://www.youtube.com/watch?v=kNgU7OPp7D4,00:00:36,00:01:18
36,https://www.youtube.com/watch?v=qfdmVIUYBuw,00:23:37,00:24:13
37,https://www.youtube.com/watch?v=lTptREHmews,00:10:00,00:11:17
38,https://www.youtube.com/watch?v=PJXlzoeP_cY,00:15:50,00:19:45
39,https://www.youtube.com/watch?v=mamNE584p3c&t=958s,00:22:22,00:24:57
40,https://www.youtube.com/watch?v=CZydUOzSKf0&list=PLEf0sYWd9002fCxDCvhKV5Y-6wB-ecIId,00:03:50,00:04:20
41,https://www.youtube.com/watch?v=55zchEd6RF0,00:03:00,00:03:30
42,https://www.youtube.com/watch?v=nryKdGoTJSg,,
43,https://www.youtube.com/watch?v=BH02nztW3tU&ab_channel=Dr.Andr%C3%A9Nascimento%7CContraAbusosBanc%C3%A1rios,00:11:04,00:12:30
44,https://www.youtube.com/watch?v=yfpgJ0aY7G8&ab_channel=TVSenado,02:49:43,02:55:26
45,https://www.youtube.com/watch?v=CTGYes6secE&ab_channel=OPedidoEventos,00:01:48,00:03:07
